step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
283,5.426635,5.496293,5.554975,5.609303,5.703062,5.557878
284,5.364822,5.434217,5.492869,5.549260,5.645626,5.497133
285,5.319051,5.383751,5.445673,5.501051,5.595403,5.447695
286,5.271686,5.335542,5.396291,5.450963,5.542952,5.398439
287,5.213620,5.276493,5.338980,5.395628,5.483868,5.340458
288,5.165948,5.230877,5.290142,5.347118,5.436252,5.293325
289,5.117826,5.184680,5.241696,5.298709,5.389833,5.246243
290,5.062854,5.130110,5.188569,5.241759,5.332827,5.191044
291,5.016609,5.083240,5.143672,5.196595,5.291705,5.146213
292,4.964202,5.031285,5.094132,5.145891,5.240372,5.094000
293,4.920447,4.987017,5.048763,5.103722,5.199788,5.051097
294,4.880939,4.946025,5.008399,5.062153,5.159443,5.009292
295,4.832376,4.897575,4.958728,5.013118,5.110290,4.960137
296,4.792508,4.860170,4.920604,4.975396,5.069901,4.921846
297,4.757985,4.823032,4.881068,4.936343,5.033596,4.883790
298,4.716559,4.778245,4.837088,4.891473,4.989352,4.839685
299,4.684385,4.741293,4.800136,4.856510,4.954271,4.803936
300,4.648478,4.708125,4.764716,4.824230,4.916711,4.770054
301,4.610232,4.670632,4.723824,4.782916,4.876143,4.730865
302,4.583727,4.641348,4.692506,4.752192,4.846153,4.700179
303,4.554793,4.612879,4.662924,4.723154,4.819861,4.671470
304,4.522863,4.580601,4.628388,4.691566,4.781672,4.638299
305,4.499052,4.557205,4.601308,4.666618,4.755773,4.612555
306,4.470538,4.527260,4.573792,4.638573,4.729231,4.584173
307,4.450204,4.505540,4.549839,4.616903,4.705984,4.562444
308,4.432221,4.487552,4.528125,4.595937,4.685091,4.542604
309,4.411981,4.462905,4.504279,4.571994,4.665970,4.520460
310,4.396819,4.447203,4.484808,4.555577,4.648807,4.504053
311,4.386309,4.434224,4.469050,4.542391,4.632881,4.489381
312,4.370528,4.423317,4.451970,4.531846,4.618668,4.475811
313,4.365526,4.413742,4.441473,4.519664,4.607005,4.466667
314,4.358665,4.407719,4.432822,4.511281,4.598250,4.460384
315,4.351031,4.402059,4.425856,4.507124,4.593373,4.454032
316,4.349301,4.398354,4.421761,4.505886,4.589976,4.451319
317,4.350475,4.398308,4.419745,4.504177,4.589995,4.450807
318,4.354224,4.401375,4.420192,4.506779,4.593757,4.453587
319,4.360381,4.404932,4.426803,4.510967,4.593683,4.457928
320,4.371834,4.410594,4.435316,4.521212,4.601495,4.466599
321,4.382955,4.421024,4.447622,4.532204,4.606873,4.476884
322,4.401997,4.432089,4.462868,4.543335,4.623591,4.490033
323,4.426783,4.450034,4.483245,4.559689,4.641060,4.509178
324,4.444629,4.471004,4.501959,4.579669,4.655582,4.528022
325,4.468103,4.493311,4.525223,4.598773,4.672697,4.549097
326,4.502469,4.521893,4.558775,4.627005,4.699439,4.577557
327,4.530424,4.548881,4.586049,4.652744,4.723841,4.603606
328,4.562153,4.579438,4.616357,4.683207,4.750007,4.633169
329,4.601852,4.617683,4.652996,4.720514,4.789408,4.671494
330,4.633661,4.651028,4.686719,4.755715,4.821698,4.705788
331,4.671913,4.686487,4.724967,4.792200,4.857553,4.742906
332,4.717423,4.731987,4.770958,4.840520,4.900389,4.790311
333,4.756361,4.775089,4.814432,4.884205,4.940727,4.832843
334,4.810148,4.829440,4.871908,4.937269,4.992614,4.887038
335,4.856095,4.877943,4.917132,4.983061,5.040926,4.934200
336,4.904526,4.926890,4.969086,5.031072,5.092015,4.983766
337,4.968665,4.989289,5.035502,5.098346,5.153567,5.046572
338,5.019323,5.045289,5.093278,5.153134,5.208502,5.101231
339,5.075285,5.102253,5.151531,5.211649,5.263102,5.157922
340,5.144988,5.173849,5.224660,5.281755,5.331532,5.228894
341,5.205674,5.233761,5.286853,5.343494,5.391275,5.289738
342,5.266851,5.298355,5.351544,5.408914,5.452586,5.352913
343,5.343750,5.377620,5.428935,5.488647,5.529765,5.431186
344,5.409394,5.446306,5.497537,5.555067,5.597204,5.498530
345,5.478551,5.514656,5.565812,5.623874,5.663879,5.567137
346,5.561007,5.598152,5.652478,5.707861,5.749179,5.651554
347,5.630334,5.669116,5.724357,5.778048,5.817339,5.723174
348,5.717044,5.757407,5.809548,5.867176,5.901779,5.810833
349,5.792569,5.835475,5.883347,5.940170,5.971727,5.885418
350,5.868363,5.910824,5.957173,6.015487,6.048165,5.960991
351,5.961915,6.003532,6.048895,6.106506,6.140616,6.053063
352,6.037873,6.081188,6.130668,6.185781,6.217112,6.131735
353,6.111494,6.158645,6.208569,6.261059,6.295769,6.209697
354,6.207549,6.253176,6.305087,6.355565,6.392785,6.305332
355,6.289106,6.330810,6.383820,6.437102,6.475295,6.386024
356,6.373366,6.412917,6.465206,6.516572,6.556566,6.467954
357,6.471073,6.508145,6.562696,6.613368,6.654875,6.564843
358,6.554756,6.588367,6.643848,6.692516,6.736825,6.645984
359,6.638652,6.670867,6.726942,6.775070,6.817115,6.728105
360,6.741105,6.770895,6.827522,6.871616,6.916011,6.826665
361,6.826654,6.851397,6.908953,6.954182,6.993976,6.908812
362,6.928745,6.949831,7.005353,7.052972,7.097389,7.006904
363,7.008858,7.034487,7.089940,7.136503,7.179614,7.090083
364,7.088588,7.119065,7.171420,7.220485,7.262576,7.172517
365,7.187965,7.215590,7.269153,7.319483,7.358971,7.270098
366,7.269275,7.297711,7.351788,7.399358,7.441044,7.351168
367,7.350960,7.381170,7.430796,7.477433,7.527681,7.431562
368,7.446441,7.477809,7.526396,7.573951,7.625313,7.527973
369,7.526381,7.556392,7.606117,7.654799,7.702011,7.608059
370,7.606518,7.636621,7.684532,7.734738,7.783062,7.687858
371,7.700007,7.730027,7.780188,7.830753,7.880393,7.783479
372,7.778474,7.808495,7.857418,7.907526,7.959231,7.861625
373,7.857277,7.885804,7.934297,7.986714,8.034635,7.938813
374,7.946156,7.978314,8.023278,8.079418,8.126643,8.031143
375,8.017234,8.052386,8.098579,8.154671,8.205619,8.106577
376,8.107174,8.140809,8.187998,8.242139,8.295361,8.195577
