step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
211,0.751687,0.872480,1.034922,1.091288,2.298341,1.111708
212,0.676962,0.830520,1.012507,1.050156,2.366909,1.091381
213,0.719781,0.822400,0.975964,1.048985,2.427093,1.085346
214,0.666492,0.804410,0.963917,1.041922,2.465650,1.063406
215,0.641552,0.776968,0.940978,0.995930,2.503909,1.040049
216,0.594326,0.725527,0.903009,0.954185,2.568203,1.016183
217,0.566468,0.707102,0.849458,0.940214,2.674466,1.005765
218,0.502033,0.664886,0.804731,0.897338,2.766848,0.985892
219,0.499245,0.658887,0.774463,0.868952,2.834716,0.979925
220,0.461580,0.614947,0.769871,0.812769,2.877504,0.964596
221,0.453971,0.595578,0.729958,0.781359,2.948365,0.958860
222,0.429606,0.564585,0.689833,0.758292,3.019666,0.946313
223,0.434006,0.544054,0.661919,0.769527,3.074593,0.941184
224,0.427638,0.496407,0.633277,0.741452,3.125097,0.936100
225,0.375032,0.465285,0.591771,0.713218,3.192965,0.927677
226,0.362641,0.425358,0.564796,0.683434,3.248673,0.920512
227,0.325230,0.371266,0.544306,0.657213,3.325842,0.920392
228,0.260972,0.361331,0.516998,0.626773,3.362705,0.914776
229,0.273388,0.340146,0.493307,0.602508,3.423040,0.914509
230,0.210231,0.332489,0.442447,0.573336,3.479546,0.915053
231,0.219003,0.302490,0.388450,0.546880,3.547318,0.917028
232,0.201936,0.274038,0.405990,0.522104,3.604501,0.925059
233,0.157744,0.260148,0.376541,0.525759,3.656241,0.931976
234,0.164371,0.262141,0.313221,0.465311,3.699461,0.934773
235,0.227017,0.254373,0.354957,0.481034,3.722385,0.939325
236,0.162731,0.261135,0.313046,0.421393,3.779867,0.939726
237,0.116103,0.277164,0.302612,0.409473,3.840516,0.952255
238,0.084217,0.266563,0.310537,0.385231,3.879785,0.957831
239,0.076568,0.252573,0.316802,0.399076,3.886471,0.960255
240,0.041996,0.233883,0.325821,0.393713,3.896322,0.964684
241,0.077937,0.286140,0.303392,0.410897,3.920731,0.972153
242,0.047460,0.258329,0.314825,0.427026,3.956263,0.983545
243,0.089908,0.257723,0.322648,0.419482,3.939388,0.983536
244,0.063751,0.229702,0.329989,0.444478,3.973392,0.995190
245,0.076551,0.276203,0.347582,0.512570,3.977438,1.006395
246,0.098605,0.313890,0.395274,0.501897,3.998109,1.018908
247,0.103072,0.309423,0.394905,0.549127,4.051861,1.030273
248,0.170379,0.340596,0.403659,0.504420,4.076627,1.044827
249,0.085395,0.339907,0.425464,0.603323,4.075750,1.053842
250,0.121118,0.338344,0.421180,0.600850,4.145989,1.068912
251,0.197381,0.358117,0.449091,0.613933,4.139786,1.071282
252,0.153577,0.360358,0.485657,0.599547,4.167904,1.082815
253,0.150805,0.366473,0.477221,0.583384,4.201960,1.084149
254,0.220202,0.375604,0.461795,0.593339,4.177735,1.090947
255,0.228320,0.379859,0.497572,0.635322,4.191065,1.104994
256,0.259830,0.437526,0.498843,0.611003,4.198254,1.106865
257,0.247098,0.413743,0.508295,0.614718,4.238802,1.112563
258,0.288831,0.432276,0.509119,0.628062,4.216874,1.117065
259,0.275556,0.447581,0.531149,0.661751,4.202311,1.117684
260,0.295238,0.452765,0.532112,0.654381,4.234491,1.121953
261,0.309712,0.464496,0.553934,0.668454,4.261672,1.137905
262,0.300205,0.480068,0.554772,0.676525,4.235112,1.128883
263,0.352388,0.466171,0.587485,0.697741,4.243028,1.132642
264,0.379464,0.504124,0.580739,0.723682,4.267359,1.141282
265,0.364664,0.472017,0.574861,0.712518,4.278874,1.145867
266,0.342612,0.483263,0.602444,0.711341,4.310881,1.155574
267,0.335341,0.451170,0.585595,0.717158,4.311645,1.151058
268,0.304749,0.480882,0.596208,0.720023,4.318844,1.158253
269,0.371036,0.482509,0.593454,0.743685,4.301155,1.158670
270,0.413912,0.496349,0.634455,0.741386,4.338102,1.174545
271,0.447041,0.529325,0.645307,0.751201,4.377528,1.180452
272,0.466290,0.557992,0.653702,0.762536,4.366134,1.195833
